PLAYER,POS.,AGE,EXP,TEAM,TYPE, 2022-23 Salary ,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP, Market.Value ,Player-additional
Chimezie Metu,C,26,5, SAC,UFA  :   Bird,1457885,PF,25,SAC,66,689,17.3,0.639,0.174,0.333,7.8,24.9,16.4,8.1,1.5,2.7,11.3,17.6,1.2,0.8,2.1,0.143,-0.3,0.2,-0.1,0.3,7000000,metuch01
Nickeil Alexander-Walker,SG,24.6,4, MIN,RFA  :   Bird,3587278,SG,24,TOT,59,884,11.6,0.565,0.539,0.203,1.9,10.5,6.3,16.7,1.7,2,14.6,17.9,0.3,0.8,1.1,0.062,-1.4,0.4,-0.9,0.2,7000000,alexani01
Terence Davis,SG,25.8,4, SAC,UFA  :   Bird,4000000,SG,25,SAC,64,841,12.9,0.563,0.668,0.118,2.7,16.1,9.4,11.1,2.4,1.2,12.2,22.2,0,0.9,0.9,0.054,-1.3,-0.3,-1.5,0.1,7000000,daviste02
Seth Curry,SG,32.6,10, BKN,UFA  :   Bird,8000000,SG,32,BRK,61,1211,12.3,0.593,0.517,0.122,1.2,7.9,4.6,11.9,1.5,0.5,9.7,19.2,0.9,0.9,1.8,0.07,-1.2,-0.9,-2.1,0,7000000,curryse01
Dennis Schröder,PG,29.5,10, LAL,UFA  :   Non-Bird,2641682,PG,29,LAL,66,1986,11.5,0.545,0.346,0.388,1.2,7.5,4.4,20.1,1.2,0.4,12.8,18.6,1.3,1.5,2.8,0.068,-2.4,-0.5,-2.9,-0.4,7000000,schrode01
Gabe Vincent,PG,26.8,4, MIA,UFA  :   Bird,1742428,PG,26,MIA,68,1759,9,0.533,0.617,0.138,1.7,8.1,4.8,13.9,1.8,0.3,13.3,17.5,-0.3,1.7,1.4,0.038,-3.1,-0.3,-3.4,-0.6,7000000,vincega01
Jevon Carter,PG,27.5,5, MIL,UFA  :   Bird,2169972,PG,27,MIL,81,1810,10.9,0.56,0.596,0.067,2.1,9.3,5.8,14.5,1.7,1.3,11.8,15.3,1.2,2.3,3.5,0.092,-1.9,1.2,-0.6,0.6,5000000,carteje01
Josh Okogie,SG,24.6,5, PHX,UFA  :   Non-Bird,1968175,SG,24,PHO,72,1350,13.3,0.531,0.476,0.464,8.8,11.9,10.3,10.3,2,2.3,11.2,17.7,1.1,1.7,2.8,0.101,-0.8,0.5,-0.2,0.6,5000000,okogijo01
Troy Brown Jr.,SF,23.7,5, LAL,UFA  :   Non-Bird,1968175,SF,23,LAL,76,1860,9.6,0.561,0.604,0.084,3.7,13.7,8.9,6.6,1.5,0.7,9.2,12.1,1,2,2.9,0.075,-1.8,0.8,-1,0.5,5000000,browntr01
Trey Lyles,PF,27.3,8, SAC,UFA  :   Early Bird,2562500,PF,27,SAC,74,1247,14.2,0.607,0.588,0.304,6.3,21.1,13.7,7,1,2.2,12.2,18.1,1.4,1.2,2.6,0.098,0,-0.9,-1,0.3,5000000,lylestr01
Georges Niang,PF,29.8,7, PHI,UFA  :   Early Bird,3382500,PF,29,PHI,78,1512,10.9,0.61,0.765,0.09,1.5,12.8,7.2,7.3,1,0.9,9.4,17,1.1,1.4,2.5,0.078,-0.4,-1,-1.4,0.2,5000000,niangge01
Damion Lee,SG,30.4,6, PHX,UFA  :   Non-Bird,2133278,SG,30,PHO,74,1506,10.7,0.607,0.546,0.23,2.8,14,8.3,8.9,1,0.4,13.5,16.3,1.1,1.4,2.6,0.081,-1.3,-0.4,-1.7,0.1,5000000,leeda03
Shake Milton,SG,26.5,5, PHI,UFA  :   Bird,1664676,SG,26,PHI,76,1567,12.7,0.575,0.294,0.231,3,11.3,7.2,22.3,0.8,0.8,14.5,18.5,1.6,1.2,2.9,0.087,-1,-0.9,-2,0,5000000,miltosh01
Andre Drummond,C,29.6,11, CHI,Player  :   Non-Bird,3280000,C,29,CHI,67,849,20.8,0.606,0.011,0.456,18.7,40.2,29.6,5.7,2.6,3.1,18.6,21,0.8,2,2.8,0.159,-1.2,0.5,-0.8,0.3,3000000,drumman01
Patrick Beverley,PG,34.7,11, CHI,UFA  :   Non-Bird,801614,SG-PG,34,TOT,67,1816,8.9,0.534,0.664,0.181,2.7,12,7.5,13.3,1.7,2,13.4,10.6,0.8,2.1,3,0.079,-2.9,1.7,-1.2,0.3,3000000,beverpa01
Kendrick Nunn,PG,27.7,5, WAS,UFA  :   Early Bird,5125000,SG,27,TOT,70,964,11.1,0.53,0.496,0.091,1.8,10.3,6.2,13.8,1.4,0.6,12.4,23.7,-0.6,0.8,0.2,0.008,-2,-1.5,-3.5,-0.4,3000000,nunnke01
Reggie Jackson,PG,32.9,12, DEN,UFA  :   Non-Bird,918516,PG,32,TOT,68,1657,10,0.514,0.45,0.122,1.7,8,4.9,20,1.4,0.3,14.6,20.8,-0.6,1.2,0.6,0.018,-2.9,-1.1,-3.9,-0.8,3000000,jacksre01
Cory Joseph,PG,31.6,12, DET,UFA  :   Early Bird,5032750,PG,31,DET,62,1227,12.1,0.558,0.513,0.205,1.8,7.9,4.8,25.4,1.3,0.6,12.8,15.2,1.5,0.3,1.8,0.07,-0.7,-0.8,-1.5,0.2,3000000,josepco01
Bismack Biyombo,C,30.6,12, PHX,UFA  :   Early Bird,2905851,C,30,PHO,61,874,14.4,0.555,0,0.34,11,22.1,16.5,8.7,1,9,17.7,14,0.2,1.6,1.9,0.102,-3.4,2.5,-0.9,0.2,3000000,biyombi01
George Hill,PG,36.9,15, IND,UFA  :   Early Bird,4000000,PG-SG,36,TOT,46,834,10.6,0.61,0.572,0.331,2,8.6,5.4,16.7,1.5,0.6,15.2,11.3,1.1,0.8,1.9,0.107,-2.4,0.9,-1.5,0.1,3000000,hillge01
Thomas Bryant,C,25.7,6, DEN,UFA  :   Non-Bird,2133278,C,25,TOT,59,1081,19.7,0.682,0.16,0.341,8.9,24.6,17,4.3,0.7,2.4,8.2,18.2,2.7,1.4,4.1,0.183,1.1,-0.5,0.6,0.7,1500000,bryanth01
Keita Bates-Diop,PF,27.2,5, SAS,UFA  :   Bird,1803969,PF,27,SAS,67,1452,14.9,0.609,0.305,0.323,4.7,14.3,9.3,9.8,1.5,1.1,9.5,16.7,2.1,0.6,2.7,0.089,0.3,-0.9,-0.6,0.5,1500000,bateske01
Paul Reed,C,23.8,3, PHI,RFA  :   Bird,1303243,C,23,PHI,69,755,19.2,0.62,0.029,0.244,17.8,23.1,20.5,5.3,3,6.3,16.3,16.4,1.2,1.6,2.8,0.18,-1.6,1.5,-0.1,0.4,1500000,reedpa01
Mike Muscala,C,31.8,10, BOS,Club  :   Bird,3500000,C,31,TOT,63,945,13,0.608,0.709,0.178,4.2,19.1,11.6,7.1,0.8,2.3,6.8,15.1,1.4,1.1,2.5,0.128,-0.3,-0.1,-0.4,0.4,1500000,muscami01
Javonte Green,SG,29.7,4, CHI,UFA  :   Bird,1742428,SF,29,CHI,32,480,14.5,0.646,0.324,0.417,6.5,14.2,10.4,6.4,2.4,4.2,13.5,13.6,0.6,0.8,1.4,0.142,-1.1,2.5,1.4,0.4,1500000,greenja02
Josh Richardson,SG,29.5,8, NOP,UFA  :   Bird,12196094,SG,29,TOT,65,1530,12.3,0.555,0.529,0.146,2.9,9.9,6.3,15.8,2.2,1.2,12.7,18.4,0.6,1.1,1.8,0.055,-1,-0.1,-1.2,0.3,1500000,richajo01
Derrick Jones Jr.,PF,26.1,7, CHI,Player  :   Bird,3280000,PF,25,CHI,64,893,13.8,0.597,0.348,0.365,7.7,11.6,9.7,5.1,1.6,4,8.6,14.5,1.2,1.2,2.4,0.131,-1.2,0.8,-0.4,0.3,1500000,jonesde02
Anthony Lamb,SF,25.2,3, GSW,RFA  :   Non-Bird,253254,SF,25,GSW,62,1195,10.9,0.61,0.634,0.191,5.3,14.4,9.9,10.5,1.1,1.5,13.7,13.8,1.2,1.2,2.4,0.096,-1.6,0.4,-1.1,0.3,1500000,lamban01
Joe Ingles,SF,35.5,9, MIL,UFA  :   Non-Bird,6479000,SF,35,MIL,46,1044,10.7,0.616,0.819,0.085,1.4,11.1,6.4,18.4,1.5,0.5,17.6,12.6,1.1,1.2,2.3,0.107,-1.6,0.8,-0.7,0.3,1500000,inglejo01
Yuta Watanabe,SF,28.4,5, BKN,UFA  :   Non-Bird,1968175,SF,28,BRK,58,928,12.1,0.637,0.582,0.203,3.7,13.1,8.5,7,1.3,1.6,8,13.1,1.3,0.9,2.1,0.111,-0.4,-0.2,-0.6,0.3,1500000,watanyu01
JaMychal Green,PF,32.8,9, GSW,UFA  :   Non-Bird,2628597,PF,32,GSW,57,797,15.5,0.65,0.44,0.266,10.1,18,14.1,8.9,1.5,2.5,15.6,17.5,1.2,1,2.2,0.133,-0.7,0.2,-0.5,0.3,1500000,greenja01
Ty Jerome,SG,25.7,4, GSW,UFA  :   Non-Bird,,SG,25,GSW,45,816,12.8,0.594,0.372,0.169,1,9.4,5.3,22.1,1.3,0.5,10.3,14.9,1.4,0.7,2.1,0.124,-1.1,0.3,-0.8,0.3,1500000,jeromty01
Blake Griffin,C,34,13, BOS,UFA  :   Non-Bird,2905851,C,33,BOS,41,569,13.1,0.59,0.508,0.246,9.2,20.4,14.9,14.2,1.2,1.4,13.2,12.7,1,0.8,1.8,0.153,-1.4,1.5,0.1,0.3,1500000,griffbl01
Lindy Waters III,SG,25.7,2, OKC,Club  :   Early Bird,3144752,SG,25,OKC,41,531,11.8,0.573,0.91,0.112,3.2,12.2,7.6,7,1.3,1.9,5.1,15.5,0.6,0.5,1.1,0.101,0.5,-0.4,0.1,0.3,1500000,waterli01
Goga Bitadze,C,23.7,4, ORL,Club  :   Non-Bird,1339383,C,23,TOT,38,457,17.1,0.582,0.208,0.336,15,18.7,16.8,12.1,1.7,5.3,13.3,15.4,0.8,0.6,1.3,0.141,-0.8,1.1,0.3,0.3,1500000,bitadgo01
Frank Kaminsky,C,30,8, HOU,UFA  :   Non-Bird,2463490,C,29,TOT,36,235,15.3,0.635,0.524,0.254,3.2,21.2,12.1,17.8,1.2,1.6,11.4,14.1,0.5,0.2,0.7,0.141,1.2,1.7,2.8,0.3,1500000,kaminfr01
Jock Landale,C,27.4,2, PHX,RFA  :   Early Bird,1244388,C,27,PHO,69,979,16.4,0.595,0.249,0.312,13.2,18.6,15.8,10.1,0.8,2.7,13.3,19.3,1.5,1.2,2.7,0.132,-0.7,-0.4,-1.1,0.2,1500000,landajo01
Montrezl Harrell,C,29.2,8, PHI,Player  :   Non-Bird,2611758,C,29,PHI,57,681,17.6,0.631,0.029,0.483,11.8,15.7,13.8,7.4,1.2,3.4,12.1,18.9,1.3,0.8,2.2,0.153,-0.9,-0.4,-1.3,0.1,1500000,harremo01
Jaylen Nowell,SG,23.7,4, MIN,UFA  :   Bird,1657821,SG,23,MIN,65,1252,13.7,0.527,0.371,0.158,3.3,11.7,7.6,15.9,1.6,0.3,8.9,25,0,1.2,1.2,0.046,-1.5,-1,-2.5,-0.2,1500000,nowelja01
Svi Mykhailiuk,SF,25.8,5, CHA,UFA  :   Non-Bird,1968175,SF,25,TOT,32,468,14,0.584,0.572,0.225,3.4,8.9,6.1,16.5,1.5,0.7,11.2,19.3,0.5,0.3,0.8,0.081,0.5,-0.7,-0.1,0.2,1500000,mykhasv01
Lonnie Walker IV,SG,24.2,5, LAL,UFA  :   Non-Bird,6479000,SG,24,LAL,56,1297,12.2,0.57,0.472,0.201,1.2,7.6,4.5,7,1.1,1.1,7.4,20.2,0.8,1,1.8,0.066,-0.9,-0.5,-1.4,0.2,,walkelo01
Raul Neto,PG,30.8,8, CLE,UFA  :   Non-Bird,2463490,PG,30,CLE,48,505,12.6,0.628,0.382,0.309,2.3,8.4,5.4,21,1.7,0.7,16.1,13.2,0.8,0.6,1.5,0.142,-1.7,1.5,-0.2,0.2,,netora01
Darius Bazley,PF,22.8,4, PHX,RFA  :   Bird,2865407,C,22,TOT,43,616,13.1,0.524,0.29,0.383,5.8,18.5,12.1,8.3,1.7,5.1,11.2,16.4,0.1,0.9,1,0.078,-2,1,-1,0.2,,bazleda01
Boban Marjanovi?,C,34.6,8, HOU,UFA  :   Early Bird,807005,C,34,HOU,31,171,23.4,0.71,0.017,0.45,12.7,26,19.3,8.7,1.4,1.1,16.3,20.8,0.4,0.1,0.6,0.158,3,-1.5,1.6,0.2,,marjabo01
Dario Šari?,PF,28.9,7, OKC,UFA  :   Bird,9000000,PF-C,28,TOT,57,806,13.5,0.583,0.415,0.274,7.1,21.4,14.1,12.7,1.2,0.8,15.1,19.2,0.7,1,1.7,0.099,-1.5,0.1,-1.4,0.1,,saricda01
Hamidou Diallo,SG,24.7,5, DET,UFA  :   Bird,5200000,SF,24,DET,56,996,15.7,0.593,0.056,0.395,6.2,15.7,10.8,9.2,2.6,1.4,13.9,21.8,0.4,0.9,1.3,0.063,-1.8,0.4,-1.4,0.1,,diallha01
Jaxson Hayes,C,22.8,4, NOP,RFA  :   Bird,5529623,C,22,NOP,47,610,13.7,0.605,0.186,0.532,7.3,17.3,12.3,7.7,1.6,3,13.9,15.7,0.6,0.9,1.5,0.118,-2.2,1,-1.2,0.1,,hayesja02
Udoka Azubuike,C,23.5,3, UTH,UFA  :   Bird,2537811,C,23,UTA,36,359,16.1,0.774,0,0.278,9.5,26.1,17.9,4.3,0.8,3.5,18.2,11.5,0.6,0.4,1,0.134,-1.2,0.5,-0.6,0.1,,azubuud01
Rodney McGruder,SG,31.7,7, DET,UFA  :   Early Bird,2298385,SG,31,DET,32,524,10.7,0.566,0.638,0.145,4.1,11.8,7.8,7.6,1.5,0.2,6.4,14,0.5,0.2,0.7,0.068,-0.8,-0.7,-1.5,0.1,,mcgruro01
Dalano Banton,PG,23.3,2, TOR,RFA  :   Early Bird,1244388,PG,23,TOR,31,279,14.9,0.505,0.392,0.185,4.2,14.9,9.1,19.3,2.3,4.5,11.4,24.2,0,0.4,0.4,0.064,-1.1,0.6,-0.5,0.1,,bantoda01
Luka Garza,C,24.2,2, MIN,RFA  :   Non-Bird,1244388,C,24,MIN,28,243,23,0.652,0.336,0.448,15.5,13.5,14.5,11.8,0.6,0.7,9.2,26.9,0.9,0.2,1.1,0.211,2.2,-2.6,-0.4,0.1,,garzalu01
Kenneth Lofton Jr.,PF,20.6,1, MEM,RFA  :   Two-Way,,PF,20,MEM,24,176,20.2,0.572,0.183,0.29,11.5,19.2,15.4,18.1,1.3,1,10.3,27.6,0.3,0.2,0.5,0.145,0.7,-1.1,-0.4,0.1,,loftoke01
Otto Porter Jr.,SF,29.8,10, TOR,Player  :   Non-Bird,6150000,SF,29,TOR,8,146,14,0.656,0.567,0.267,4.3,10.9,7.4,7.2,3.7,0,10.7,11,0.2,0.2,0.4,0.142,-1.3,2,0.7,0.1,,porteot01
Jay Huff,C,24.6,2, WAS,RFA  :   Non-Bird,,C,24,WAS,7,95,22.3,0.796,0.48,0.64,7.3,16.9,12.3,14.7,1.5,3.6,13.5,16.9,0.4,0.1,0.5,0.261,2.8,1.2,4,0.1,,huffja01
Micah Potter,C,24.9,2, UTH,RFA  :   Non-Bird,,PF,24,UTA,7,52,18.6,0.8,0.467,0,6.3,26.7,16.6,11.2,0.9,0,11.8,13.7,0.2,0,0.2,0.186,2.4,1.2,3.5,0.1,,pottemi01
Aaron Holiday,PG,26.5,5, ATL,UFA  :   Non-Bird,1968175,PG,26,ATL,63,845,9.4,0.528,0.4,0.145,3.2,6.4,4.8,13,2.1,1.2,13.3,13.4,0.3,0.6,0.9,0.053,-2.9,0.9,-2,0,,holidaa01
Terrence Ross,SG,32.1,11, PHX,UFA  :   Non-Bird,918516,SG,31,TOT,63,1330,10.2,0.544,0.555,0.073,1.8,11.2,6.5,10.2,1.3,0.7,8.2,16.8,0.5,1.2,1.6,0.059,-1.8,-0.3,-2.1,0,,rosste01
T.J. Warren,SF,29.5,9, PHX,UFA  :   Non-Bird,2628597,PF-SF,29,TOT,42,687,13.5,0.55,0.248,0.13,4.2,15.4,9.8,8.7,1.6,1.5,6.5,19.5,0.4,0.8,1.2,0.081,-1.7,-0.2,-2,0,,warretj01
Victor Oladipo,SG,30.9,10, MIA,Player  :   Bird,9100000,SG,30,MIA,42,1106,10.6,0.513,0.526,0.196,1.6,12.3,6.8,19.8,2.6,1.1,16.6,21.1,-0.9,1.5,0.6,0.024,-2.9,0.8,-2.1,0,,oladivi01
Damian Jones,C,27.8,7, UTH,Player  :   Non-Bird,2442525,C,27,TOT,41,477,12.9,0.719,0.198,0.337,9.7,17.7,13.8,4.1,0.8,3.7,18.9,10.7,0.7,0.5,1.2,0.119,-2,0.3,-1.7,0,,jonesda03
DeAndre Jordan,C,34.7,15, DEN,UFA  :   Early Bird,2905851,C,34,DEN,39,586,14.7,0.731,0.009,0.417,10.5,28.6,19.8,7.7,1,3.5,26.1,13.7,0.5,0.9,1.4,0.112,-2.4,0.7,-1.8,0,,jordade01
Dewayne Dedmon,C,33.6,10, PHI,UFA  :   Non-Bird,835014,C,33,TOT,38,426,15.5,0.577,0.258,0.325,9.1,28.3,18.5,9.5,1.1,4.4,12.7,20.6,0.3,0.7,1,0.115,-2.6,1,-1.6,0,,dedmode01
Orlando Robinson,C,22.7,1, MIA,RFA  :   Non-Bird,,C,22,MIA,31,425,13.4,0.565,0.067,0.348,12.8,22.3,17.4,8.4,1.4,2.9,13.5,12.4,0.5,0.6,1.1,0.129,-2.7,0.7,-2.1,0,,robinor01
Jeff Dowtin,PG,25.8,2, TOR,RFA  :   Two-Way,,PG,25,TOR,25,259,9.9,0.5,0.281,0.158,2.4,8,5,15.5,1.7,1.1,7.6,10.9,0.2,0.2,0.4,0.076,-2.8,0.9,-1.9,0,,dowtije01
Saben Lee,PG,23.8,3, PHX,RFA  :   Two-Way,10552,PG,23,TOT,25,373,13.1,0.517,0.248,0.471,3.8,9.7,6.7,24.3,2.5,0.2,14.1,19.5,0.2,0.4,0.7,0.088,-2.7,0.9,-1.8,0,,leesa01
Moussa Diabaté,PF,21.2,1, LAC,RFA  :   Two-Way,,C,21,LAC,22,195,14.2,0.546,0.043,0.34,18,10.8,14.4,2.8,1.8,3.6,14.3,14.1,0.2,0.2,0.4,0.105,-1.9,-0.8,-2.8,0,,diabamo01
Cody Zeller,C,30.4,10, MIA,UFA  :   Non-Bird,743922,C,30,MIA,15,217,16.4,0.659,0.034,0.593,13,21.8,17.3,7.2,0.7,1.9,15.8,18.1,0.4,0.3,0.7,0.147,-2,-0.7,-2.8,0,,zelleco01
Isaiah Mobley,PF,22.5,1, CLE,RFA  :   Two-Way,,PF,23,CLE,13,84,14.1,0.521,0.286,0.143,5.6,22.4,14,5,2.4,3.3,3.3,16.4,0.1,0.2,0.2,0.135,-2.5,1.1,-1.4,0,,mobleis01
Danny Green,SG,35.8,14, CLE,UFA  :   Non-Bird,2000000,SG,35,TOT,11,138,10.8,0.617,0.755,0.02,2.5,9.1,5.8,6.1,2.2,2,16.8,18.9,0,0.2,0.2,0.059,-2.1,0.2,-1.9,0,,greenda02
Omer Yurtseven,C,24.8,3, MIA,RFA  :   Bird,1620852,C,24,MIA,9,83,16.7,0.675,0.259,0.222,10.9,21.9,16.2,3.9,1.2,2.5,11.9,18,0.2,0.1,0.3,0.159,-2.5,-1.5,-3.9,0,,yurtsom01
Ron Harper Jr.,SG,22.9,1, TOR,RFA  :   Non-Bird,,PF,22,TOR,9,48,15.7,0.608,0.563,0.063,6.6,10.2,8.3,11.9,0,2,0,14.6,0.1,0,0.2,0.158,2.4,-1.2,1.2,0,,harpero02
Jack White,SF,25.6,1, DEN,RFA  :   Non-Bird,,SF,25,DEN,17,66,12.6,0.517,0.474,0.158,10.7,18.6,14.8,7.7,2.2,2.7,9,14.7,0.1,0.1,0.1,0.108,-2.6,0.7,-1.9,0,,whiteja03
Andre Iguodala,PF,39.2,19, GSW,UFA  :   Early Bird,2905851,PF,39,GSW,8,113,7.3,0.521,0.6,0.2,3,13.4,8.3,20.3,1.7,2.3,35.5,9.4,0,0.1,0.1,0.044,-4.3,1.7,-2.5,0,,iguodan01
Jared Butler,PG,22.6,2, OKC,RFA  :   Two-Way,,PG,22,OKC,6,77,13,0.578,0.438,0,1.4,4.3,2.8,15,3.1,0,13.5,20.1,0,0.1,0.1,0.061,-2.2,-0.4,-2.6,0,,butleja02
Kendall Brown,SF,19.8,1, IND,RFA  :   Non-Bird,,SG,19,IND,6,40,9.1,0.571,0.143,0.286,5.6,11.1,8.3,9.7,4.7,0,20.2,10.4,0,0.1,0.1,0.071,-7,4,-2.9,0,,brownke03
Scotty Pippen Jr.,PG,22.3,1, LAL,RFA  :   Two-Way,,PG,22,LAL,6,32,9.6,0.439,0.25,0.75,6.9,6.5,6.7,8.2,3,2.6,11.1,23.7,-0.1,0,0,-0.017,-5.1,-0.8,-5.9,0,,pippesc02
Dereon Seabron,SG,22.8,1, NOP,RFA  :   Non-Bird,,SG,22,NOP,5,12,4.6,0.4,0,0,9.5,0,4.7,0,0,0,0,17.9,0,0,0,-0.034,-6.6,-4.7,-11.3,0,,seabrde01
Kobi Simmons,PG,25.8,4, CHA,UFA  :   Two-Way,,SG,25,CHO,5,28,9,0.363,0.833,0.333,3.7,11.7,7.6,21.8,0,6.2,12.7,11.8,0,0,0,0.019,-1,0.1,-0.9,0,,simmoko01
Neemias Queta,C,23.7,2, SAC,RFA  :   Early Bird,,C,23,SAC,5,29,17,0.607,0,0.222,19.8,23.5,21.7,5,0,6,9.2,16.1,0.1,0,0.1,0.149,-2.6,-0.8,-3.4,0,,quetane01
Trevor Hudgins,PG,24,1, HOU,RFA  :   Two-Way,,PG,23,HOU,5,28,4.2,0.436,0.889,0.333,0,0,0,13.9,0,0,8.8,16.8,0,0,0,-0.035,-3.8,-4.7,-8.4,0,,hudgitr01
Darius Days,SF,23.4,1, HOU,RFA  :   Non-Bird,,SF,23,HOU,4,25,18.3,0.582,0.833,0.167,4.3,22.2,13.2,6.2,0,3.9,0,21.4,0.1,0,0.1,0.156,4.7,-1.2,3.5,0,,daysda01
Lester Quinones,SG,22.3,1, GSW,RFA: ,5849,SG,22,GSW,4,18,8.6,0.654,0.8,1.2,6.2,12,9.2,14.2,2.6,0,39.6,29.4,-0.1,0,0,-0.103,-6.4,-3.7,-10.2,0,,quinole01
Michael Carter-Williams,PG,31.4,10, ORL,Club  :   Bird,1851987,PG,31,ORL,4,44,9,0.498,0.214,0.5,2.6,10.3,6.4,22.6,1.1,2.2,19,20.6,0,0,0,-0.003,-5.1,-1.2,-6.3,0,,cartemi01
Xavier Moon,SG,28.2,2, LAC,RFA: ,,SG,28,LAC,4,20,7.2,0.389,0.333,0,0,16.6,8.4,35.7,0,0,10,21.8,0,0,0,-0.03,-4.1,-1,-5.1,0,,moonxa01
Dylan Windler,SG,26.5,4, CLE,RFA  :   Bird,2612430,SF,26,CLE,3,10,19,0.833,0.667,0,0,0,0,15.2,5,0,25,17.9,0,0,0,0.149,3.2,3.5,6.7,0,,windldy01
Gabe York,SG,29.7,2, IND,RFA  :   Two-Way,,SG,29,IND,3,56,11.8,0.548,0.857,0.095,0,11.9,5.9,12.3,1.7,0,0,16.4,0.1,0,0.1,0.091,-1.7,-1.8,-3.5,0,,yorkga01
