PLAYER,POS.,AGE,EXP,TEAM,TYPE, 2022-23 Salary ,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP, Market.Value ,Player-additional
James Johnson,PF,36.1,13, IND,UFA  :   Early Bird,935216,PF,35,IND,18,162,8.4,0.486,0.306,0.163,2.7,17.8,10.3,12.6,2.1,3.2,13.2,15.7,-0.1,0.2,0.1,0.017,-5.7,1.2,-4.4,-0.1,,johnsja01
Matt Ryan,SF,25.9,2, MIN,RFA  :   Non-Bird,,SF,25,TOT,34,310,8.1,0.538,0.778,0.111,1.4,7.6,4.6,6.9,0.8,0.3,5.8,16.5,0.1,0.2,0.3,0.044,-1.9,-1.5,-3.4,-0.1,,ryanma01
Mfiondu Kabengele,PF,25.6,3, BOS,RFA  :   Two-Way,,PF,25,BOS,4,36,8.1,0.381,0.429,0.286,15.4,14.9,15.2,0,2.7,0,11.3,10.8,0,0.1,0.1,0.067,-6.6,-2.4,-8.9,-0.1,,kabenmf01
Lamar Stevens,SF,25.7,3, CLE,Club  :   Bird,1470912,SF,25,CLE,62,1120,9.5,0.524,0.33,0.198,5,16.7,10.9,4,1.2,1.6,7.9,13.6,0.3,1.6,1.9,0.08,-3,0.2,-2.8,-0.2,,stevela01
Will Barton,SG,32.2,11, TOR,UFA  :   Non-Bird,14375000,SG,32,TOT,56,993,10,0.493,0.495,0.129,1.7,13.5,7.7,15.4,1.4,1.1,11.1,18.9,-0.4,0.8,0.4,0.021,-2,-0.6,-2.6,-0.2,,bartowi01
Austin Rivers,SG,30.7,11, MIN,UFA  :   Non-Bird,2905851,SG,30,MIN,52,1016,7.4,0.564,0.589,0.187,0.6,8.4,4.6,9.3,1.3,0.3,9.2,10.5,0.5,0.8,1.3,0.061,-3.3,0.5,-2.8,-0.2,,riverau01
Danuel House Jr.,SF,29.8,7, PHI,Player  :   Non-Bird,4207625,SF,29,PHI,56,807,9.4,0.6,0.558,0.305,1.3,12.2,6.9,7.5,0.9,1,10.4,13.8,0.6,0.7,1.3,0.075,-2.5,-0.5,-3,-0.2,,houseda01
Kevon Harris,SF,25.8,1, ORL,RFA  :   Non-Bird,,SG,25,ORL,34,457,9.2,0.564,0.402,0.383,6.9,10.4,8.7,4.7,1.8,1.1,14.4,13.7,0.2,0.4,0.6,0.065,-3.5,-0.1,-3.6,-0.2,,harrike01
Kessler Edwards,SF,22.6,2, SAC,Club  :   Non-Bird,1782931,SF,22,TOT,36,385,8.4,0.502,0.591,0.161,6.9,11.1,9,7.5,1.7,1.4,11.5,12.7,0.1,0.3,0.4,0.048,-3.2,-0.7,-3.9,-0.2,,edwarke02
Matthew Dellavedova,PG,32.5,9, SAC,UFA  :   Non-Bird,2628597,PG,32,SAC,32,213,6.7,0.443,0.54,0.14,0.5,6.4,3.5,23.4,1.6,0,15.9,12.7,0,0.1,0.1,0.021,-4.4,-0.8,-5.2,-0.2,,dellama01
Gorgui Dieng,C,33.2,10, SAS,UFA  :   Early Bird,895743,C,33,SAS,31,358,9.9,0.493,0.641,0.111,7.9,25.4,16.3,19.4,0.5,3.2,20.7,17.9,-0.2,0.2,0,0.001,-4,0.1,-3.9,-0.2,,dienggo01
Justise Winslow,PF,27,8, POR,UFA  :   Early Bird,4000000,PF,26,POR,29,776,9.3,0.466,0.227,0.141,7.2,14.3,10.7,17.2,1.9,1.3,17,14.2,-0.1,0.5,0.4,0.022,-3.4,0.6,-2.8,-0.2,,winslju01
Trent Forrest,PG,24.8,3, ATL,RFA  :   Two-Way,,SG,24,ATL,23,277,6.1,0.424,0.033,0.05,2,12.8,7.3,16.5,1.2,0.6,19.7,11.6,-0.2,0.2,-0.1,-0.011,-5.3,0.2,-5.1,-0.2,,forretr01
John Butler,C,20.3,1, POR,RFA  :   Non-Bird,,C,20,POR,19,221,5.7,0.411,0.66,0.075,1.5,7.3,4.4,6.5,1.5,3.6,1.8,11,-0.1,0.1,0,0.001,-5.4,-0.8,-6.2,-0.2,,butlejo01
Jared Rhoden,SG,23.6,1, DET,RFA  :   Non-Bird,,SG,23,DET,14,198,6.5,0.482,0.455,0.136,6,15,10.4,2.8,1,0.4,6,10.7,0,0.1,0.1,0.027,-5,-1.1,-6.1,-0.2,,rhodeja01
Buddy Boeheim,SG,23.3,1, DET,RFA  :   Non-Bird,,SF,23,DET,10,90,0.5,0.287,0.926,0.074,2.4,5.1,3.7,5.8,1.1,0,0,13.2,-0.2,0,-0.2,-0.091,-7.5,-2,-9.5,-0.2,,boehebu01
Udonis Haslem,PF,42.8,20, MIA,UFA  :   Bird,2905851,C,42,MIA,7,71,6.2,0.433,0.31,0.172,6.4,12,9.1,0,0.7,2.9,3.1,20.1,-0.1,0.1,0,-0.009,-8.2,-3.9,-12.1,-0.2,,hasleud01
Oshae Brissett,PF,24.8,4, IND,UFA  :   Bird,1435261,PF,24,IND,65,1083,10.6,0.52,0.486,0.455,6.4,16,11.2,5.4,1.4,1,8.2,16.1,0.4,0.7,1.1,0.05,-2,-1.2,-3.2,-0.3,,brissos01
Justin Holiday,SG,33.9,10, DAL,UFA  :   Non-Bird,819832,SF,33,TOT,46,706,6.6,0.494,0.701,0.039,0.8,8.1,4.4,7.5,1.3,2.3,9.6,14.1,-0.4,0.5,0.1,0.008,-3.7,-0.1,-3.9,-0.3,,holidju01
Thanasis Antetokounmpo,PF,30.7,5, MIL,UFA  :   Bird,1803969,PF,30,MIL,37,206,6.7,0.458,0.174,0.478,7.9,14.1,11.1,9.3,0.7,1.2,17.7,13.8,-0.1,0.2,0.1,0.022,-6.5,-1.1,-7.6,-0.3,,antetth01
Juan Toscano-Anderson,SF,30,4, UTH,UFA  :   Non-Bird,1902133,SF,29,TOT,52,700,7.2,0.505,0.301,0.168,4.4,14.4,9.5,11.8,1.1,1.2,18.1,11.3,-0.1,0.6,0.5,0.038,-4.6,0.8,-3.8,-0.3,,toscaju01
Duane Washington Jr.,PG,23,2, NYK,RFA  :   Two-Way,,SG,22,PHO,31,394,9.3,0.458,0.434,0.094,0.6,9.8,5.1,25.2,0.7,0.9,11.3,32.5,-0.8,0.3,-0.5,-0.065,-1.8,-2.8,-4.6,-0.3,,washidu02
Dominick Barlow,PF,19.8,1, SAS,RFA  :   Two-Way,,PF,19,SAS,28,408,12.4,0.567,0.047,0.291,11.9,15.6,13.7,7.6,1.2,3.8,13.4,11.3,0.5,0.2,0.7,0.082,-3.7,-0.8,-4.6,-0.3,,barlodo01
David Duke Jr.,SG,23.4,2, BKN,RFA  :   Early Bird,,SG,23,BRK,23,228,8.3,0.497,0.154,0.218,5.5,8.7,7.1,13.1,2.1,0.4,17.4,20.1,-0.3,0.2,-0.1,-0.011,-6.3,-1,-7.3,-0.3,,dukeda01
Johnny Juzang,SG,22,1, UTH,RFA  :   Non-Bird,,SG,21,UTA,18,232,6.5,0.411,0.606,0.038,3.8,14.3,9.1,4.7,0.8,1.1,2.8,19.6,-0.3,0.1,-0.2,-0.032,-4.3,-2.2,-6.5,-0.3,,juzanjo01
Goran Dragi?,PG,36.8,15, MIL,UFA  :   Non-Bird,617911,PG,36,TOT,58,870,10.3,0.514,0.433,0.134,2.1,8.2,5.2,24.3,0.7,0.4,15.1,21.1,-0.3,0.7,0.4,0.025,-2.1,-1.8,-3.9,-0.4,,dragigo01
Jeff Green,PF,36.6,16, DEN,UFA  :   Early Bird,4500000,PF,36,DEN,56,1091,11,0.576,0.317,0.357,4.1,10.9,7.6,8.3,0.8,1.4,10.8,17,0.8,0.8,1.7,0.074,-2.4,-1,-3.4,-0.4,,greenje02
Rudy Gay,PF,36.6,17, UTH,Player  :   Early Bird,6184500,PF,36,UTA,56,816,9,0.475,0.453,0.171,4.4,17,10.8,9.4,1.1,1.9,10.7,17.7,-0.4,0.7,0.3,0.018,-3.6,-0.4,-4,-0.4,,gayru01
Cam Reddish,SF,23.6,4, POR,RFA  :   Bird,4832084,SF,23,TOT,40,990,10.6,0.561,0.462,0.24,2,8.1,5,8.1,1.9,1.3,12,17.1,0.3,0.7,0.9,0.046,-2.6,-0.8,-3.4,-0.4,,reddica01
Kevin Knox,SF,23.6,5, POR,Club  :   Non-Bird,3000000,SF-PF,23,TOT,63,952,11.1,0.579,0.56,0.181,3.9,17.3,10.5,5.2,1.2,1.1,12.2,18.4,0.2,0.5,0.7,0.034,-2.1,-1.4,-3.5,-0.4,,knoxke01
Eugene Omoruyi,SF,26.1,2, DET,Club  :   Non-Bird,1098671,SF,25,TOT,40,645,10.9,0.533,0.39,0.329,7.1,11.8,9.4,6.3,2.1,0.4,11.5,19.3,0.1,0.5,0.6,0.042,-3.5,-0.9,-4.4,-0.4,,omorueu01
Ish Smith,PG,34.7,13, DEN,UFA  :   Early Bird,4612500,PG,34,DEN,43,398,6.5,0.407,0.092,0.031,1.5,13.8,7.8,32.5,1,1.6,24.9,19.3,-0.8,0.4,-0.5,-0.056,-5.5,-1.1,-6.6,-0.5,,smithis01
Romeo Langford,SG,23.4,4, BOS,RFA  :   Bird,4132054,SG,23,SAS,43,844,10.4,0.524,0.236,0.216,7.1,7.7,7.4,7.9,1.3,1.3,9.6,15.4,0.3,0.2,0.5,0.029,-2.6,-1.5,-4.2,-0.5,,langfro01
Frank Ntilikina,PG,24.7,6, DAL,UFA  :   Early Bird,1912787,SG,24,DAL,47,607,5.2,0.461,0.508,0.25,1.3,10.7,5.9,12.8,1.3,1,16.5,13.1,-0.5,0.4,-0.1,-0.01,-6.1,-0.7,-6.7,-0.7,,ntilila01
